Jenis Ujian,Kategori,Pertanyaan,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,Kunci Jawaban (A/B/C/D/E),Pembahasan
UPKP,TWK,"Menurut UUD 1945, kekuasaan tertinggi di Indonesia berada di tangan...",Presiden,MPR,Rakyat,DPR,Mahkamah Agung,C,Kunci Jawaban: Rakyat
UPKP,TWK,Pancasila disahkan sebagai dasar negara oleh PPKI pada tanggal...,1 Juni 1945,22 Juni 1945,17 Agustus 1945,18 Agustus 1945,19 Agustus 1945,D,Kunci Jawaban: 18 Agustus 1945
UPKP,TWK,Sila pertama Pancasila dilambangkan dengan...,Rantai,Pohon Beringin,Kepala Banteng,Padi dan Kapas,Bintang Emas,E,Kunci Jawaban: Bintang Emas
UPKP,TWK,"Pasal 1 ayat (1) UUD 1945 menyatakan bahwa Negara Indonesia ialah Negara Kesatuan, yang berbentuk...",Republik,Serikat,Kerajaan,Federal,Monarki,A,Kunci Jawaban: Republik
UPKP,TWK,Lagu kebangsaan Indonesia Raya diciptakan oleh...,Soekarno,W.R. Supratman,Ismail Marzuki,C. Simanjuntak,Kusbini,B,Kunci Jawaban: W.R. Supratman
UPKP,TWK,Amandemen UUD 1945 yang pertama dilakukan pada tahun...,1998,1999,2000,2001,2002,B,Kunci Jawaban: 1999
UPKP,TWK,Lembaga negara yang berwenang menguji undang-undang terhadap UUD 1945 adalah...,Mahkamah Agung,Komisi Yudisial,Mahkamah Konstitusi,Presiden,DPR,C,Kunci Jawaban: Mahkamah Konstitusi
UPKP,TWK,Bhinneka Tunggal Ika diambil dari kitab Sutasoma karangan...,Mpu Prapanca,Mpu Sedah,Mpu Panuluh,Mpu Kanwa,Mpu Tantular,E,Kunci Jawaban: Mpu Tantular
UPKP,TWK,Sumpah Pemuda diikrarkan pada tanggal...,2 Mei 1908,20 Mei 1908,28 Oktober 1928,17 Agustus 1945,10 November 1945,C,Kunci Jawaban: 28 Oktober 1928
UPKP,TWK,Organisasi Budi Utomo didirikan pada tahun...,1905,1908,1912,1928,1945,B,Kunci Jawaban: 1908
